fid,id,N37W123,X,Y
"416","2",,5997973.2209000001,2131363.6324999998
"417","2",,5998973.2209000001,2131363.6324999998
"418","2",,5999973.2209000001,2131363.6324999998
"419","2",,6000973.2209000001,2131363.6324999998
"420","2",,6001973.2209000001,2131363.6324999998
"421","2",,6002973.2209000001,2131363.6324999998
"422","2",,6003973.2209000001,2131363.6324999998
"423","2",,6004973.2209000001,2131363.6324999998
"424","2",,6005973.2209000001,2131363.6324999998
"425","2",,6006973.2209000001,2131363.6324999998
"426","2",,6007973.2209000001,2131363.6324999998
"427","2",,6008973.2209000001,2131363.6324999998
"428","2",,6009973.2209000001,2131363.6324999998
"429","2",,6010973.2209000001,2131363.6324999998
"430","2",,6011973.2209000001,2131363.6324999998
"431","2",,6012973.2209000001,2131363.6324999998
"432","2",,6013973.2209000001,2131363.6324999998
"433","2",,6014973.2209000001,2131363.6324999998
"434","2",,6015973.2209000001,2131363.6324999998
"435","2",,6016973.2209000001,2131363.6324999998
"436","2",,6017973.2209000001,2131363.6324999998
"437","2",,6018973.2209000001,2131363.6324999998
"438","2",,6019973.2209000001,2131363.6324999998
"439","2",,6020973.2209000001,2131363.6324999998
"440","2",,6021973.2209000001,2131363.6324999998
"441","2",,6022973.2209000001,2131363.6324999998
"442","2",,6023973.2209000001,2131363.6324999998
"443","2",,6024973.2209000001,2131363.6324999998
"444","2",,6025973.2209000001,2131363.6324999998
"445","2",,6026973.2209000001,2131363.6324999998
"446","2",,6027973.2209000001,2131363.6324999998
"447","2",,6028973.2209000001,2131363.6324999998
"448","2",,6029973.2209000001,2131363.6324999998
"449","2",,6030973.2209000001,2131363.6324999998
"450","2",,6031973.2209000001,2131363.6324999998
"451","2",,6032973.2209000001,2131363.6324999998
"452","2",,6033973.2209000001,2131363.6324999998
"453","2",,6034973.2209000001,2131363.6324999998
"454","2",,6035973.2209000001,2131363.6324999998
"455","2",,6036973.2209000001,2131363.6324999998
"456","2",,6037973.2209000001,2131363.6324999998
"457","2",,6038973.2209000001,2131363.6324999998
"458","2",,6039973.2209000001,2131363.6324999998
"459","2",,6040973.2209000001,2131363.6324999998
"460","2",,6041973.2209000001,2131363.6324999998
"461","2",,6042973.2209000001,2131363.6324999998
"462","2",,6043973.2209000001,2131363.6324999998
